team_label,opp_label,games,ppg,avg_gd,gf,ga,win_rate,draw_rate,loss_rate
저강도 역습 전환형,고강도 전환 직진형,24,1.8333333333333333,0.2916666666666667,1.7083333333333333,1.4166666666666667,0.5416666666666666,0.20833333333333334,0.25
저강도 빌드업 운영형,고강도 전환 직진형,36,1.6111111111111112,0.19444444444444445,1.4444444444444444,1.25,0.4444444444444444,0.2777777777777778,0.2777777777777778
저강도 빌드업 운영형,고강도 빌드업 주도형,27,1.5925925925925926,0.14814814814814814,1.4814814814814814,1.3333333333333333,0.48148148148148145,0.14814814814814814,0.37037037037037035
저강도 역습 전환형,고강도 빌드업 주도형,18,1.5555555555555556,0.3888888888888889,1.8333333333333333,1.4444444444444444,0.4444444444444444,0.2222222222222222,0.3333333333333333
저강도 빌드업 운영형,저강도 역습 전환형,18,1.5,0.5,1.6111111111111112,1.1111111111111112,0.4444444444444444,0.16666666666666666,0.3888888888888889
저강도 빌드업 운영형,저강도 빌드업 운영형,18,1.5,0.0,1.2777777777777777,1.2777777777777777,0.5,0.0,0.5
고강도 빌드업 주도형,고강도 전환 직진형,36,1.4166666666666667,-0.05555555555555555,1.0555555555555556,1.1111111111111112,0.3888888888888889,0.25,0.3611111111111111
고강도 빌드업 주도형,고강도 빌드업 주도형,18,1.3888888888888888,0.0,1.0,1.0,0.3888888888888889,0.2222222222222222,0.3888888888888889
고강도 전환 직진형,고강도 빌드업 주도형,36,1.3333333333333333,0.05555555555555555,1.1111111111111112,1.0555555555555556,0.3611111111111111,0.25,0.3888888888888889
저강도 역습 전환형,저강도 역습 전환형,6,1.3333333333333333,0.0,1.8333333333333333,1.8333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
저강도 역습 전환형,저강도 빌드업 운영형,18,1.3333333333333333,-0.5,1.1111111111111112,1.6111111111111112,0.3888888888888889,0.16666666666666666,0.4444444444444444
고강도 전환 직진형,고강도 전환 직진형,36,1.2777777777777777,0.0,1.3055555555555556,1.3055555555555556,0.2777777777777778,0.4444444444444444,0.2777777777777778
고강도 빌드업 주도형,저강도 빌드업 운영형,27,1.2592592592592593,-0.14814814814814814,1.3333333333333333,1.4814814814814814,0.37037037037037035,0.14814814814814814,0.48148148148148145
고강도 빌드업 주도형,저강도 역습 전환형,18,1.2222222222222223,-0.3888888888888889,1.4444444444444444,1.8333333333333333,0.3333333333333333,0.2222222222222222,0.4444444444444444
고강도 전환 직진형,저강도 빌드업 운영형,36,1.1111111111111112,-0.19444444444444445,1.25,1.4444444444444444,0.2777777777777778,0.2777777777777778,0.4444444444444444
고강도 전환 직진형,저강도 역습 전환형,24,0.9583333333333334,-0.2916666666666667,1.4166666666666667,1.7083333333333333,0.25,0.20833333333333334,0.5416666666666666
